"TIMESTAMP";"EVENT";"SD";"PINB";"TINB";"Q";"POUTB";"TOUTB";"REVHP";"REVLP";"REVWE";"TFIRE";"CF"
"2013-02-08 17:19:01";"";;;13.558709;;;;;;;;
"2013-02-08 17:40:02";"";;;;;;12.30808;;;;;
"2013-02-08 21:09:17";"";;;;;;11.804532;;;;;
"2013-02-08 23:16:16";"";;;13.049668;;;;;;;;
"2013-02-08 23:27:01";"";;;;;;11.291829;;;;;
"2013-02-09 01:56:01";"";;;;;;10.784619;;;;;
"2013-02-09 03:18:46";"";;;12.542459;;;;;;;;
"2013-02-09 06:28:32";"";;;;;;10.281071;;;;;
"2013-02-09 07:09:46";"";;;;;;10.788281;;;;;
"2013-02-09 07:33:46";"";;;;;;11.297322;;;;;
"2013-02-09 07:59:02";"";;;;;;11.80087;;;;;
"2013-02-09 08:03:02";"";;;13.046006;;;;;;;;
"2013-02-09 08:27:17";"";;;;;;12.317235;;;;;
"2013-02-09 08:52:16";"";;;13.562371;;;;;;;;
"2013-02-09 08:56:16";"";;;;;;12.820783;;;;;
"2013-02-09 09:30:31";"";;;;;;13.3298235;;;;;
"2013-02-09 09:43:01";"";;;14.075074;;;;;;;;
"2013-02-09 10:02:17";"";;;;;;13.833371;;;;;
"2013-02-09 10:29:32";"";;;14.578622;;;;;;;;
"2013-02-09 10:31:01";"";;;;;;14.336919;;;;;
"2013-02-09 11:08:47";"";;;;;;14.84413;;;;;
"2013-02-09 11:13:16";"";;;15.087663;;;;;;;;
"2013-02-09 11:36:46";"";;;;;;15.3568325;;;;;
"2013-02-09 11:57:47";"";;;15.600367;;;;;;;;
"2013-02-09 12:02:47";"";;;;;;15.86038;;;;;
"2013-02-09 12:33:01";"";;;;;;16.373083;;;;;
"2013-02-09 12:38:02";"";;;16.107576;;;;;;;;
"2013-02-09 13:03:47";"";;;;;;16.885786;;;;;
"2013-02-09 13:22:31";"";;;16.611124;;;;;;;;
"2013-02-09 13:37:47";"";;;;;;17.394827;;;;;
"2013-02-09 14:13:47";"";;;17.132982;;;;;;;;
"2013-02-09 14:26:32";"";;;;;;17.898375;;;;;
"2013-02-09 15:19:31";"";;;17.63653;;;;;;;;
"2013-02-09 15:21:31";"";;;;;;18.401922;;;;;
"2013-02-09 16:25:31";"";;;18.140078;;;;;;;;
"2013-02-09 16:35:32";"";;;;;;18.914625;;;;;
"2013-02-09 17:42:16";"";;;18.658274;;;;;;;;
"2013-02-09 20:10:46";"";;;19.161821;;;;;;;;
"2013-02-09 21:47:32";"";;;;;;19.418173;;;;;
"2013-02-09 22:27:02";"";;;19.665369;;;;;;;;
"2013-02-09 23:21:31";"";;;;;;19.925383;;;;;
"2013-02-10 00:16:17";"";;;20.168917;;;;;;;;
"2013-02-10 01:05:46";"";;;;;;20.438087;;;;;
"2013-02-10 02:05:17";"";;;20.672464;;;;;;;;
"2013-02-10 04:44:32";"";;;21.176012;;;;;;;;
"2013-02-10 08:58:46";"";;;21.67956;;;;;;;;
"2013-02-10 10:09:47";"";;;;;;20.947128;;;;;
"2013-02-10 10:53:31";"";;;;;;21.450676;;;;;
