TIMESTAMP;EVENT;SD;PINB;TINB;Q;POUTB;TOUTB;REVHP;REVLP;REVWE;TFIRE;CF
2013-02-08 17:33:48;;;;;4470.7407;;;;;;;
2013-02-08 19:56:48;;;;;;72.99642;;;;;;
2013-02-08 20:30:18;;;55.264675;;;;;;;;;
2013-02-08 20:51:48;;;;;;;;;;;676.7086;
2013-02-08 22:03:18;;;;;;72.89373;;;;;;
2013-02-08 23:52:48;;;55.161983;;;;;;;;;
2013-02-09 01:28:48;;;;;;;30.560768;;;;;
2013-02-09 01:55:03;;;;;;72.787926;;;;;;
2013-02-09 03:04:03;;;;;;;;8795.788;;;;
2013-02-09 04:08:03;;;55.053066;;;;;;;;;
2013-02-09 05:13:03;;;;;;;;;6967.1167;;;
2013-02-09 05:15:03;;;;;;;;;;;666.64685;
2013-02-09 06:21:48;;;;;;72.68212;;;;;;
2013-02-09 09:08:03;;;55.155758;;;;;;;;;
2013-02-09 09:08:18;;;;;;72.79104;;;;;;
2013-02-09 09:20:18;;;55.053066;;;;;;;;;
2013-02-09 09:31:18;;;;;;72.68835;;;;;;
2013-02-09 09:59:03;;;54.95037;;;;;;;;;
2013-02-09 10:02:33;;;55.165092;;4556.802;72.344475;;;7024.3384;;;
2013-02-09 10:03:18;;;55.292683;;;72.232445;;;;;;
2013-02-09 10:04:18;;;;;;72.12664;;;;;;
2013-02-09 10:05:18;;;55.410934;;;;;;;;;
2013-02-09 10:06:03;;;;;;72.01461;;;;;;
2013-02-09 10:06:18;;;;;;;;;;;676.6606;
2013-02-09 10:07:33;;;;;4661.021;;;8884.596;7111.6196;;;
2013-02-09 10:08:18;;;;;4794.69;;;;;3664.9883;689.71844;
2013-02-09 10:27:03;;49.39498;;;;;;;;;;
2013-02-09 10:28:03;;;;;;71.89947;;;;;;
2013-02-09 10:37:03;;;;;;;;8935.5;;;;
2013-02-09 10:37:18;;;;;;;;;7165.484;;;
2013-02-09 10:48:03;;;55.23978;;;72.02706;;;;;;
2013-02-09 10:48:18;;;;;4723.7354;72.14531;;;;;;
2013-02-09 10:48:33;;;55.102856;;;;;;;;;
2013-02-09 10:48:48;;;;;;72.25734;;;;;;
2013-02-09 10:50:03;;;54.99705;;;72.38338;;;;;;
2013-02-09 10:51:33;;;;;;72.50785;;;7111.4673;;;
2013-02-09 10:54:48;;;;;4673.228;72.63544;;;;;;
2013-02-09 10:55:03;;;54.888134;;;;;;;;;
2013-02-09 11:02:33;;;;;;72.73814;;;;;;
2013-02-09 11:04:03;;37.209126;;;4574.96;;;8852.735;7024.1855;;;
2013-02-09 11:04:33;;;;;;;;;;3610.8186;678.61523;
2013-02-09 11:04:48;;;;;4471.1987;;;;;;;
2013-02-09 11:05:03;;;;;;72.60743;;;;;;
2013-02-09 11:06:33;;;54.990826;;;;;;;;;
2013-02-09 12:06:48;;;;;;;31.07805;;;;;
2013-02-09 14:24:33;;;;;;72.71946;;;;;;
2013-02-09 14:46:48;;;;;;72.61677;;;;;;
2013-02-09 16:41:48;;;;;;72.71946;;;;;;
2013-02-09 17:07:03;;;;;;72.613655;;;;;;
2013-02-09 17:39:18;;;54.88502;;;;;;;;;
2013-02-09 18:16:18;;;;;;72.51096;;;;;;
2013-02-09 18:31:18;;;;;;;;;6972.915;;;
2013-02-09 18:51:18;;;;;;;;8801.465;;;;
2013-02-09 18:58:33;;;54.779217;;;;;;;;;
2013-02-09 19:44:48;;;;;;;;;;;668.201;
2013-02-09 20:03:03;;;;;;72.40827;;;;;;
2013-02-09 22:38:18;;;;;;72.30402;;;;;;
2013-02-09 23:21:33;;;54.67341;;;;;;;;;
2013-02-09 23:37:03;;;;;;;30.560768;;;;;
2013-02-10 00:40:33;;;;;4414.282;;;;;;;
2013-02-10 00:46:03;;;;;;;;8750.744;;;;
2013-02-10 02:04:03;;;;;;72.201324;;;;;;
2013-02-10 03:51:48;;;54.56449;;;;;;;;;
2013-02-10 07:00:18;;;;;;72.09552;;;;;;
2013-02-10 10:34:03;;;54.458687;;;;;;;;;
2013-02-10 10:49:33;;;;;4587.625;72.24178;;8843.396;7057.603;;;
2013-02-10 10:50:33;;;54.31865;;4820.325;;;8908.583;7164.5684;3722.6672;689.0776;
2013-02-10 10:50:48;;;;;4695.3535;;;;7109.331;;;
2013-02-10 10:51:03;;;;;4800.4883;;;;;;;
2013-02-10 10:51:18;;;;;4703.5933;;;;;;;
2013-02-10 10:51:33;;;;;4780.6514;;;;;;;
2013-02-10 10:51:48;;;;;4674.754;72.3507;;;;;;
2013-02-10 10:52:03;;;;;4552.3765;;;8822.705;7017.1665;3645.1514;676.0838;
2013-02-10 10:53:48;;;;;;;31.07805;;;;;
2013-02-10 11:27:18;;;;;;72.45495;;;;;;
2013-02-10 11:34:03;;;;;;;31.595331;;;;;
2013-02-10 14:14:33;;;;;;;;8873.976;;;;
2013-02-10 15:16:03;;;;;;72.56075;;;;;;
2013-02-10 18:06:33;;;54.421345;;;;;;;;;
2013-02-10 22:00:33;;;;;;72.663445;;;;;;
2013-02-11 01:19:18;;;;;;;32.11261;;;;;
2013-02-11 01:41:48;;;;;;;;;;;686.19366;
2013-02-11 02:59:48;;;54.614285;;4639.658;72.30402;;;7103.99;;;
2013-02-11 03:00:03;;;54.716976;;;;;;;;;
2013-02-11 03:00:18;;;;;;72.18577;;;;;;
2013-02-11 03:01:18;;;;;;72.07996;;;;;;
2013-02-11 03:01:48;;;54.835228;;;;;;;;;
2013-02-11 03:03:03;;;;;;71.96171;;;;;;
2013-02-11 03:03:48;;;;;;;31.572443;;;;;
2013-02-11 03:05:33;;;;;;71.8559;;;;;;
2013-02-11 03:07:03;;;54.94415;;;;;;;;;
2013-02-11 03:07:48;;;;;;;;8927.443;;;;
2013-02-11 03:09:03;;;;;;71.7501;;;;;;
2013-02-11 03:13:03;;;;;;;31.05516;;;;;
2013-02-11 03:15:03;;;;;;71.644295;;;;;;
2013-02-11 03:15:18;;;;;4690.776;;;;;;;
2013-02-11 03:16:48;;47.44793;;;;;;;;;;
2013-02-11 03:17:33;;;;;4778.8203;;;;7175.25;;696.86426;
2013-02-11 03:17:48;;;;;4685.435;;;;;;;
2013-02-11 03:20:33;;;55.049953;;;;;;;;;
2013-02-11 03:20:48;;;;;4753.1855;;;;;;;
2013-02-11 03:21:03;;;;;4639.8105;;;;7124.2847;;;
2013-02-11 03:21:18;;;;;4700.2363;;;;;;;
2013-02-11 03:26:03;;;;;4780.041;;;;;;;
2013-02-11 03:26:18;;;;;4700.8467;;;;;;;
2013-02-11 03:26:48;;;;;;71.532265;;;;;;
2013-02-11 03:27:18;;;;;4783.856;;;;;;;
2013-02-11 03:27:33;;;;;4689.0977;;;;;;;
2013-02-11 03:27:48;;;;;4790.875;;;;7180.8955;;;
